"deep","surf","stra","gender","age","attitude","points"
3.33333333333333,2.54545454545455,2.625,2,24,28,28
3.25,2.72727272727273,4.125,1,22,41,33
4.41666666666667,3.45454545454545,2.625,1,23,25,16
4.25,1.81818181818182,2.25,2,22,28,31
4.08333333333333,2.63636363636364,2.75,2,20,38,22
3.25,3.27272727272727,3,2,22,31,31
5.08333333333333,2.81818181818182,1.625,2,21,35,23
4.66666666666667,2.63636363636364,1.875,1,22,36,26
4.41666666666667,2.54545454545455,3.375,1,23,26,12
4.66666666666667,2.36363636363636,3.75,2,21,44,26
4.16666666666667,2.63636363636364,2.125,2,22,45,31
3.58333333333333,2.90909090909091,2.375,2,29,32,19
3.75,2.36363636363636,1.75,1,26,20,0
3.33333333333333,2.09090909090909,2.75,1,29,39,30
3.33333333333333,3.36363636363636,3.125,1,21,25,12
4.16666666666667,2.90909090909091,3.5,2,28,33,17
4.58333333333333,3.27272727272727,1.625,2,23,35,0
4.58333333333333,2.27272727272727,2.625,1,21,33,18
4.16666666666667,2.81818181818182,3.375,1,30,30,19
3.83333333333333,3.90909090909091,2.25,1,21,29,21
4.16666666666667,2.45454545454545,3,2,23,33,24
4.16666666666667,2.81818181818182,4,1,21,33,28
4,2.81818181818182,3.5,1,21,35,17
3.91666666666667,3,2.625,1,20,36,18
4.5,2.81818181818182,2.875,2,21,42,0
4.66666666666667,2.18181818181818,2.5,2,22,37,17
4.75,3.72727272727273,3.25,1,35,28,0
4,3.72727272727273,3.75,2,21,42,23
2.83333333333333,3.45454545454545,2,2,22,22,0
4.41666666666667,2.90909090909091,3.625,2,21,32,26
4.25,3.36363636363636,4.125,1,20,50,28
4.33333333333333,1.63636363636364,4.375,2,22,47,31
4.91666666666667,3,2.625,1,20,36,27
3.83333333333333,3.09090909090909,4,1,20,36,25
3.83333333333333,3.09090909090909,2.75,2,24,29,23
4.16666666666667,2.54545454545455,2.75,1,20,35,21
2.91666666666667,3.09090909090909,1.375,1,19,40,27
3.66666666666667,2.81818181818182,2.25,1,21,35,28
3.25,3.09090909090909,3.625,1,21,32,23
4.58333333333333,2.63636363636364,3.75,1,22,26,21
3.33333333333333,2.36363636363636,4,1,25,20,25
3.25,3.18181818181818,3.125,1,21,27,11
4.5,3.09090909090909,3.25,1,22,32,19
2.41666666666667,4,2.125,1,25,33,24
3.58333333333333,3.36363636363636,2.875,1,20,39,28
3.41666666666667,3.45454545454545,1.5,2,24,33,21
2.91666666666667,3.54545454545455,2.5,1,20,30,24
3.41666666666667,4,3.25,2,21,37,24
4,3.18181818181818,3.25,1,26,14,0
5.08333333333333,2.54545454545455,2.5,2,28,30,0
4.25,3.09090909090909,3.625,1,20,25,20
3.75,2.27272727272727,3.875,1,20,29,19
4.33333333333333,1.72727272727273,3.875,2,31,39,30
4.5,2.18181818181818,2.375,1,20,36,22
3.66666666666667,3,3,1,22,29,16
3.25,3.45454545454545,3.375,1,22,21,16
3.83333333333333,3.45454545454545,2.75,2,21,31,19
4.08333333333333,3.54545454545455,3.125,1,20,24,0
4,2.63636363636364,4.5,2,22,40,30
4.58333333333333,3,2.625,1,21,31,23
4.58333333333333,3.45454545454545,2.75,1,21,23,19
